Date,Volume,Change
2016-01-04,2.476059110652637,1.3863722900270175
2016-01-05,1.6544688906093938,-1.6832015169753316
2016-01-06,2.532040094410559,0.00559566374215121
2016-01-07,3.407574366376968,-1.2530375351937153
2016-01-08,2.6942048104796084,-0.9131541826229532
2016-01-11,1.235193492949196,-0.30242489069046535
2016-01-12,1.1946488497621464,-0.3820859377649921
2016-01-13,2.1151064755263733,-1.6247836859026228
2016-01-14,2.165717996114445,0.7597115990254568
2016-01-15,3.320242646046695,0.42514006338744
2016-01-19,1.4671750869054456,-0.9981229949010622
2016-01-20,2.800651819694548,0.828753063963656
2016-01-21,1.4030048057710554,-0.4723625152466833
2016-01-22,2.347961040268947,1.4129273229615806
2016-01-25,1.3775777995344747,-1.1733724363900253
2016-01-26,2.9906684608510785,-0.0368907682614848
2016-01-27,7.029384663704311,-1.460153826549987
2016-01-28,1.6466952936073656,0.0905644760202602
2016-01-29,2.2520728205647838,1.2854680269506726
2016-02-01,0.6257836723597094,-0.0899967824014483
2016-02-02,0.3773126302173392,-0.5679549613902828
2016-02-03,0.9736417456911131,0.6481877538127845
2016-02-04,1.0087961406895902,0.3242358003110952
2016-02-05,1.0050825506779262,-1.396424178544533
2016-02-08,1.5318649935078856,0.9296573270400008
2016-02-09,0.8604950321081153,0.3029925843092772
2016-02-10,0.7227873547352868,-0.9450169807610986
2016-02-11,1.2584242155408185,-0.11655181533601157
2016-02-12,0.5847609737420542,-0.17496964640872034
2016-02-16,1.1879768587523842,0.7915784488927653
2016-02-17,0.8973537986417965,0.7012978196819111
2016-02-18,0.49258634404955504,-1.438906558819006
2016-02-19,0.23992365646491462,-0.04751035039781229
2016-02-22,0.1641691915627961,0.23395517110024097
2016-02-23,0.002170755643522691,-0.9768797788992442
2016-02-24,0.3009969698097267,1.057108519592583
2016-02-25,-0.2998979214433134,0.30830440124202246
2016-02-26,-0.20231918688309414,-0.22275979188677555
2016-02-29,0.22898380827756826,-0.15903419561048457
2016-03-01,1.2814540162847954,1.4607215201687989
2016-03-02,0.08718148221650553,0.05870167788211471
2016-03-03,0.34949534682772826,0.41982824645469474
2016-03-04,0.9799326780243053,0.2711297861711317
2016-03-07,0.2714268165078937,-0.34490727096493834
2016-03-08,-0.02420543311469619,0.06401349481485998
2016-03-09,-0.3262948952202543,-0.16965377774681203
2016-03-10,0.11101497035106632,-0.19621286241053834
2016-03-11,-0.31198787399994377,-0.05812993253413977
2016-03-14,-0.4735636812052032,0.25519433537289593
2016-03-15,0.5651052743706154,0.26051020403480424
2016-03-16,0.4428755076061034,0.6534995707455298
2016-03-17,0.17386193862682242,0.07994894561309576
2016-03-18,0.851765324244875,-0.2918012568249748
2016-03-21,0.24882657281750492,-0.07937314853595778
2016-03-22,0.03693716362585585,0.7119174018182385
2016-03-23,-0.43009527871792574,-0.25463069348324713
2016-03-24,-0.4003380602475947,0.0374584618802967
2016-03-28,-0.8660333330535943,-0.4989175481812466
2016-03-29,-0.049964999650829046,1.4129273229615806
2016-03-30,0.9484780163583443,0.41451642952194945
2016-03-31,-0.4172847788455993,-0.45643516790677363
2016-04-01,-0.4182824597442553,0.573838523671003
2016-04-04,0.3772433468215992,0.30299663603844024
2016-04-05,-0.3694584507662757,0.0905644760202602
2016-04-06,-0.3815553316624801,0.31892398337835
2016-04-07,-0.007577418137095634,-0.8175576847501906
2016-04-08,-0.5771007877990626,-0.20152062761412057
2016-04-11,-0.17346958089695716,-0.04220258519423006
2016-04-12,-0.3241748233106102,0.5154247443274573
2016-04-13,0.09325763602290373,0.5897699227400758
2016-04-14,-0.4460027463798303,0.1861569221638597
2016-04-15,1.0411722715188934,-1.268968934262788
2016-04-18,2.0029990128794752,-0.8175576847501906
2016-04-19,0.03281480157932571,-0.5838863604593556
2016-04-20,-0.09008701412386438,0.19146873909660495
2016-04-21,-0.02485669703465221,-0.5785785952557734
2016-04-22,0.12275850592899672,0.28706118524020446
2016-04-25,-0.26879660509562636,-0.02626713439599428
2016-04-26,1.6700715113300424,0.16491370616204168
2016-04-27,5.729101605814244,0.8977904771726923
2016-04-28,3.4871324897052127,-1.5451226388280959
2016-04-29,2.537173994034893,-0.20152062761412057
2016-05-02,1.1257742260570103,-0.2440070596177566
2016-05-03,1.7265444071977183,0.4516950963220033
2016-05-04,0.6314649108103897,-0.6051295764611736
2016-05-05,0.2756946736854778,-0.4723665669758464
2016-05-06,0.8167564243774519,-0.41394873590313763
2016-05-09,0.07102459432993699,-0.18027741161230257
2016-05-10,0.12301485449323472,-0.020959369192412057
2016-05-11,-0.22116427052437476,-0.5838904121885187
2016-05-12,3.076420519758479,-1.332698582268242
2016-05-13,0.8647628892856994,0.2074001381656777
2016-05-16,2.0333659252323186,0.722536983954566
2016-05-17,1.0396411084730393,-0.6316886611248999
2016-05-18,0.7033048638531981,0.14367049016022368
2016-05-19,-0.10178897966435077,-0.30242489069046535
2016-05-20,0.007948990848238883,0.23926698803298624
2016-05-23,0.42313666815977674,0.2286433541674957
2016-05-24,0.2237113418617541,0.29237300217294976
2016-05-25,0.43354303419992507,0.4357636972529305
2016-05-26,1.691895780988143,0.318928035107513
2016-05-27,0.3069207001454969,0.41451642952194945
2016-05-31,0.7202654391303507,0.06932531174760523
2016-06-01,-0.1896957521792657,-0.36615048696675634
2016-06-02,0.5736894871028018,-0.005023918394176273
2016-06-03,-0.23600477389188326,0.00028384680940594877
2016-06-06,-0.5971375458470713,0.2711297861711317
2016-06-07,-0.6583147842854934,-0.18558922854504784
2016-06-08,-0.7664938783939329,-0.11123594667410328
